from,to,cost
20002,519,0.24149220397857626
519,20002,0.24149220397857626
20002,521,3.6094778759339228
521,20002,3.6094778759339228
20002,900,2.9793266924427146
900,20002,2.9793266924427146
20002,901,1.3341521845068638
901,20002,1.3341521845068638
20005,126,2.165073477212466
126,20005,2.165073477212466
20005,132,3.4913649790100876
132,20005,3.4913649790100876
20005,52,3.2251043471564143
52,20005,3.2251043471564143
20005,53,5.970485486005966
53,20005,5.970485486005966
20008,20001,2.5814783236281844
20001,20008,2.5814783236281844
20008,932,2.542730601543853
932,20008,2.542730601543853
20008,900,3.301622630276565
900,20008,3.301622630276565
20009,913,1.6846325375400863
913,20009,1.6846325375400863
20009,70,2.511687439326957
70,20009,2.511687439326957
20009,939,2.277268398724501
939,20009,2.277268398724501
20009,914,2.6626347408297297
914,20009,2.6626347408297297
20012,28,7.150713771383175
28,20012,7.150713771383175
20012,127,1.2627261980329936
127,20012,1.2627261980329936
20012,60,2.347140984722549
60,20012,2.347140984722549
20012,61,3.191430815434681
61,20012,3.191430815434681
20013,939,2.6497654982753325
939,20013,2.6497654982753325
20013,917,3.1536187946915626
917,20013,3.1536187946915626
20013,21,7.062455004058835
21,20013,7.062455004058835
20013,11,5.90801299912828
11,20013,5.90801299912828
20017,99,6.881709493459054
99,20017,6.881709493459054
20017,25,1.4369515592979427
25,20017,1.4369515592979427
20017,892,3.9401819666607887
892,20017,3.9401819666607887
20017,893,4.472249690747577
893,20017,4.472249690747577
20018,897,2.0780488055853525
897,20018,2.0780488055853525
20018,877,3.4271701551156206
877,20018,3.4271701551156206
20018,103,9.198149528605889
103,20018,9.198149528605889
20001,480,3.706225990436611
480,20001,3.706225990436611
20001,483,0.2353584029812701
483,20001,0.2353584029812701
20001,20008,2.5814783236281844
20008,20001,2.5814783236281844
20001,47,1.232138345197986
47,20001,1.232138345197986
8,21,6.351262766432713
8,47,6.186183782408669
11,12,3.998375220318211
12,11,3.998375220318211
12,13,3.8359463546109467
13,12,3.8359463546109467
13,14,3.8577824060033046
14,13,3.8577824060033046
14,878,6.174634594019197
15,19,3.988753980426316
15,878,3.265160461922773
19,15,3.988753980426316
19,20,3.925113686020531
20,19,3.925113686020531
20,98,2.759810643583647
21,8,6.351262766432713
22,23,1.9646366826306778
22,98,4.550829956750941
23,22,1.9646366826306778
23,24,3.727638053762676
24,23,3.727638053762676
24,25,5.070583618143182
24,857,5.323815654235197
24,859,8.349643848026842
25,24,5.070583618143182
27,28,4.826316086503832
27,832,4.2793527755771565
28,27,4.826316086503832
47,8,6.186183782408669
48,49,5.840556938446984
48,133,5.839027837471604
49,48,5.840556938446984
49,50,5.842085258214176
50,49,5.842085258214176
50,51,2.636808320458448
51,50,2.636808320458448
51,52,3.9243803331166274
52,51,3.9243803331166274
53,54,6.01308840664121
54,53,6.01308840664121
54,55,4.89409849997195
55,54,4.89409849997195
56,102,2.173448780642605
57,58,1.0264374754400942
57,102,1.3305644388758961
58,57,1.0264374754400942
58,59,1.3509150868125326
59,58,1.3509150868125326
59,60,3.0209348351290566
60,59,3.0209348351290566
61,62,1.865250481652224
62,61,1.865250481652224
62,63,1.8275438099846024
63,62,1.8275438099846024
63,64,3.0501127029485344
64,63,3.0501127029485344
64,65,1.783859287208243
65,64,1.783859287208243
65,66,4.490847480748559
66,65,4.490847480748559
66,67,2.2098291618781896
67,66,2.2098291618781896
67,941,3.660737608722683
68,103,2.47949435797382
70,103,3.9969883998097395
98,20,2.759810643583647
98,22,4.550829956750941
98,593,1.91456933175004
99,832,5.486842208841659
102,56,2.173448780642605
102,57,1.3305644388758961
103,68,2.47949435797382
103,70,3.9969883998097395
126,129,3.0317258584406237
127,130,2.3241267681622526
128,129,5.203738650267428
128,130,6.800671659237645
129,126,3.0317258584406237
129,128,5.203738650267428
130,127,2.3241267681622526
130,128,6.800671659237645
132,906,4.13917102554532
133,48,5.839027837471604
480,517,3.755602524612018
481,482,0.6862836725348453
481,529,2.5665448149999026
482,481,0.6862836725348453
482,526,2.6158838262618493
483,518,3.843500401244649
511,512,0.814746714042272
512,511,0.814746714042272
512,513,1.9656253443648186
513,512,1.9656253443648186
513,514,1.3928440813141951
514,513,1.3928440813141951
514,515,3.305746364025258
515,514,3.305746364025258
515,516,3.0415176521205636
516,515,3.0415176521205636
516,517,2.3537742940915956
517,480,3.755602524612018
517,516,2.3537742940915956
518,483,3.843500401244649
518,519,2.5682823418981577
519,518,2.5682823418981577
521,522,3.2448385799856507
522,521,3.2448385799856507
522,523,4.941743621477835
523,522,4.941743621477835
523,524,1.583112956539803
524,523,1.583112956539803
524,525,6.188484834131136
525,524,6.188484834131136
525,529,2.5668775818680993
526,482,2.6158838262618493
526,527,3.9529385309354477
527,526,3.9529385309354477
527,528,1.3094167977889049
528,527,1.3094167977889049
529,481,2.5665448149999026
529,525,2.5668775818680993
592,595,5.15664175032107
593,98,1.91456933175004
593,594,2.557451689765353
594,593,2.557451689765353
594,595,0.3007136899571675
595,592,5.15664175032107
595,594,0.3007136899571675
832,27,4.2793527755771565
832,99,5.486842208841659
856,857,4.0331907003475225
857,24,5.323815654235197
857,856,4.0331907003475225
859,24,8.349643848026842
