,name,station,route,latitude,longitude,id
8,百善站,37,1,40.16962926,116.3227351,8
11,张喜庄站,1,1,40.1442106775,116.54692539999999,11
12,六元桥站,2,1,40.140708395,116.59362335,12
13,顺义城,3,1,40.113286615,116.62099605,13
14,顺义南环,4,1,40.07943093,116.63115715,14
15,通顺路站,5,1,40.01073741,116.67203390000002,15
19,徐辛庄,6,1,39.984480115,116.70391059999999,19
20,潞苑北街,7,1,39.94928036,116.69967150000001,20
21,马坊,38,1,40.159972245,116.39622050000001,21
22,小圣庙,9,1,39.883811645,116.70428325,22
23,土桥,10,1,39.86680018,116.69796509999999,23
24,张家湾,11,1,39.83780298,116.6760123,24
25,次渠站,12,1,39.8043552975,116.63568835,25
27,南大红门站,15,1,39.725137455,116.4583581,27
28,磁各庄站,16,1,39.7195754025,116.402529825,28
47,高教园区,36,1,40.165863035,116.25028025,47
48,杜家坎匝道,2,2,39.849308884,116.24778594,48
49,赵辛店站,3,2,39.811514752,116.20033092,49
50,京良路口,4,2,39.77372062,116.15287590000001,50
51,良乡机场,5,2,39.753728136,116.13626714,51
52,阎村,6,2,39.72767217,116.10533149999999,52
53,窦店,7,2,39.6497117825,116.07104165,53
54,琉璃河,8,2,39.597048875,116.0546967,54
55,琉璃河南,9,2,39.55643426,116.03255700000001,55
56,西红门站,1,3,39.79655249,116.34182290000001,56
57,高米店,3,3,39.76530984,116.3362283,57
58,大兴工业区,4,3,39.75608849,116.3370788,58
59,金华寺,5,3,39.743979045,116.33861195,59
60,海子角站,6,3,39.71677408,116.3380513,60
61,天宫院,7,3,39.67034678,116.3185473,61
62,三融,8,3,39.65356022,116.31768455,62
63,庞各庄站,9,3,39.637101275,116.31795085,63
64,薛营桥,10,3,39.60970668,116.3206107,64
65,梨花桥站,11,3,39.59365515,116.3215189,65
66,大礼路站,12,3,39.5532779,116.31841915,66
67,榆垡主站,13,3,39.53337641,116.318805,67
68,京承主站,1,4,40.034567356666706,116.46808583333299,68
70,沙峪站,3,4,40.091946795,116.474997475,70
98,常屯,8,1,39.924791905,116.7052013,98
99,马驹桥站,13,1,39.751373936,116.56708322,99
102,西红门南桥,2,3,39.7772427275,116.337658325,102
103,黄港站,2,4,40.0559655775,116.47639415,103
126,肖庄站,21,1,39.7136778425,116.115341425,126
127,念坛,17,1,39.695462955,116.30952669999999,127
128,长阳,19,1,39.6948888175,116.2050828,128
129,良乡,20,1,39.698324595,116.14457560000001,129
130,北臧,18,1,39.688568845,116.28394315,130
132,闫村西,22,1,39.72903109,116.08610725,132
133,六里桥,1,2,39.887103016,116.29524096,133
480,小汤山站,8,5,40.1402202175,116.256035825,480
481,长城站,18,5,40.35823156,115.98144369999999,481
482,西拨子,19,5,40.36105662,115.97425790000001,482
483,工业园站,9,5,40.17206626625,116.2383503375,483
511,清河主站,1,5,40.01153278,116.35540485,511
512,上清站,2,5,40.01803989,116.35099445,512
513,清河北,3,5,40.0330265,116.33873775,513
514,西三旗站,4,5,40.0438560975,116.330501725,514
515,回龙观,5,5,40.0694783,116.3107713,515
516,北安河站,6,5,40.093030855,116.29256405,516
517,沙河站,7,5,40.11025784,116.27647785,517
518,昌平南环,10,5,40.203912315,116.22066485,518
519,昌平西关,11,5,40.2212949025,116.20076205,519
521,陈庄站,12,5,40.23176021,116.16059955,521
522,南口站,13,5,40.24872331,116.12954930000001,522
523,南站村,14,5,40.27540879,116.0830584,523
524,居庸关站,15,5,40.286228075,116.0709352,524
525,水关,16,5,40.33359114,116.0325666,525
526,营城子站,20,5,40.37119806,115.946459575,526
527,康庄,21,5,40.35997233,115.9022943,527
528,康庄市界站,22,5,40.35782324,115.88713759999999,528
529,岔道城,17,5,40.34591135,116.00700515,529
592,京哈入口,1,591,39.936329,116.81968700000002,592
593,丁各庄,4,591,39.92638397,116.7275018,593
594,白庙匝道,2,591,39.93345722,116.75597450000001,594
595,白庙主站,3,591,39.93393334,116.7594378,595
832,博兴三路,14,1,39.737432299999995,116.505668215614,832
856,白鹿主,1,855,39.86693947,116.57341629999999,856
857,台湖站,2,855,39.85425238,116.61758259999999,857
859,漷县站,4,855,39.81569215,116.76923319999999,859
860,朗府,5,855,39.80910718,116.821189225,860
862,西集站,6,855,39.80252221,116.87314525,862
863,香河站,7,855,39.79520681,117.00544525,863
877,吴各庄,1,876,40.021279665,116.61718415,877
878,半壁店站,2,876,40.024066435,116.6379422,878
879,李桥站,3,876,40.038581255,116.68010545,879
880,沿河站,4,876,40.03717572,116.70212495,880
881,北庄头,5,876,40.02926399,116.742137725,881
882,北务站,6,876,40.044514625,116.800202525,882
883,薛家庄站,7,876,40.0627300875,116.92066100000001,883
884,打铁庄,8,876,40.067509915,117.00069540000001,884
885,南张岱站,9,876,40.076025415,117.02907355,885
886,赵庄户,10,876,40.08367597,117.07016725,886
887,东高村站,11,876,40.09738167,117.10361429999999,887
888,稻地站,12,876,40.115503545,117.1354213,888
889,南太务站,13,876,40.13230774,117.19175355,889
890,夏各庄站,14,876,40.126687835,117.19626705,890
892,台湖,1,891,39.810118,116.58313799999999,892
893,牛堡屯站,2,891,39.7633338925,116.657358825,893
894,于家务站,3,891,39.735786325,116.695300275,894
895,德仁务站,4,891,39.662433325,116.777387475,895
896,永乐,5,891,39.63902406,116.80828670000001,896
897,T3航站楼站,2,864,40.049957,116.587944,897
898,黄港,1,864,40.0559655775,116.47639415,898
900,百泉庄,4,899,40.196850705,116.20682520000001,900
901,十三陵站,5,899,40.234692985,116.2068502,901
902,西山口站,6,899,40.245901535,116.17185309999999,902
903,太平庄站,7,899,40.25693914,116.17549960000001,903
906,大苑村,23,1,39.76593133,116.0929814,906
907,青龙湖,24,1,39.790423215,116.11003329999998,907
908,千灵山,25,1,39.8368939725,116.110648825,908
909,北宫森林公园,26,1,39.85804693,116.12866869999999,909
910,石门营,27,1,39.89020193,116.14391540000001,910
911,广宁,28,1,39.933092235,116.11505805,911
913,北七家,1,912,40.11673188,116.47131645,913
914,天北路,2,912,40.1199920225,116.519053975,914
915,火寺路,3,912,40.122265085,116.548253325,915
916,机场高速北线主站,4,912,40.12223588,116.5614456,916
917,高丽营,5,4,40.18160846,116.48621445,917
918,赵全营,6,4,40.2085148275,116.4949953,918
919,北石槽,7,4,40.237496455,116.525283375,919
920,宽沟,8,4,40.261974715,116.57280335,920
921,怀山柔水,9,4,40.2670340575,116.619608675,921
922,中影杨宋,10,4,40.2720934,116.66641399999999,922
923,密云,12,4,40.340443635,116.8252456,923
924,穆家峪,13,4,40.3825573733333,116.889403333333,924
925,老庙,30,1,40.0187889,116.098943075,925
926,辛安庄,14,4,40.39558984,116.9618828,926
927,金鼎湖,15,4,40.391622225,117.0066655,927
928,大觉寺,31,1,40.044113555,116.11135049999999,928
929,北清,32,1,40.069140985,116.14083570000001,929
930,温阳,33,1,40.09645342,116.147774525,930
931,沙阳站,34,1,40.12799876,116.15152495,931
932,双横,35,1,40.16209681,116.17782539999999,932
933,北庄,18,4,40.49287172,117.169706,933
934,大城子,16,4,40.387771155,117.0807652,934
935,程各庄,17,4,40.415100445,117.14862920000002,935
936,太师屯,19,4,40.5645229,117.14999925,936
937,司马台匝道,20,4,40.62972937,117.2492782,937
938,司马台,21,4,40.633493205,117.25007855,938
939,未来科技城,4,4,40.129934335,116.47820255,939
940,军庄,29,1,39.993464245,116.08653565,940
941,求贤,14,3,39.50986865,116.288952425,941
942,榆垡南,15,3,39.50251209,116.28809509999999,942
943,沙河,1,899,40.11042565,116.2767064,943
946,密云经济技术开发区站,11,4,40.3062685175,116.7458298,946
20002,交叉口,-1,-1,40.22337851,116.20157520000001,20002
20005,交叉口,-1,-1,39.69909691,116.0985781,20005
20008,交叉口,-1,-1,40.16711672,116.2069477,20008
20009,交叉口,-1,-1,40.111478999999996,116.489855,20009
20012,交叉口,-1,-1,39.69882565,116.32359070000001,20012
20013,交叉口,-1,-1,40.15379472,116.4787231,20013
20017,交叉口,-1,-1,39.79467027,116.6245591,20017
20018,交叉口,-1,-1,40.032346000000004,116.579704,20018
20001,交叉口,-1,-1,40.17022547,116.23698049999999,20001
