,ROUTE,NAME,LON,LAT,ID,ROUTE_NAME,STATION_NAME,STATION
103,1,苹果园,116.1726195,39.92100323,103,1号线,苹果园,3
104,1,古城路,116.1843881,39.90410097,104,1号线,古城路,4
105,1,八角游乐园,116.2080045,39.90455287,105,1号线,八角游乐园,5
106,1,八宝山,116.2307476,39.90470597,106,1号线,八宝山,6
107,1,玉泉路,116.2482508,39.90495585,107,1号线,玉泉路,7
108,1,五棵松,116.2692031,39.90528792,108,1号线,五棵松,8
109,1,万寿路,116.28988909999998,39.90538042,109,1号线,万寿路,9
110,1,公主坟,116.3051845,39.90543705,110,1号线,公主坟,10
111,1,军事博物馆,116.31631509999998,39.90565631,111,1号线,军事博物馆,11
112,1,木樨地,116.3306381,39.90591099,112,1号线,木樨地,12
113,1,南礼士路,116.3471212,39.90528446,113,1号线,南礼士路,13
114,1,复兴门,116.3529087,39.90540696,114,1号线,复兴门,14
115,1,西单,116.367855,39.90528226,115,1号线,西单,15
116,1,天安门西,116.3866313,39.90579738,116,1号线,天安门西,16
117,1,天安门东,116.3980997,39.90621773,117,1号线,天安门东,17
118,1,王府井,116.40744,39.90661707,118,1号线,王府井,18
119,1,东单,116.4121773,39.90653781,119,1号线,东单,19
120,1,建国门,116.43096609999998,39.90698708,120,1号线,建国门,20
121,1,永安里,116.44562340000002,39.90794069,121,1号线,永安里,21
122,1,国贸,116.4562245,39.90720734,122,1号线,国贸,22
123,1,大望路,116.47271440000002,39.90713039,123,1号线,大望路,23
124,1,四惠,116.4904142,39.90790300000001,124,1号线,四惠,24
125,1,四惠东,116.5097409,39.90854471,125,1号线,四惠东,25
201,2,西直门,116.348858,39.939055,201,2号线,西直门,1
202,2,车公庄,116.3499598,39.93158957,202,2号线,车公庄,2
203,2,阜成门,116.3502766,39.92282831,203,2号线,阜成门,3
204,2,复兴门,116.3511333,39.90642375,114,2号线,复兴门,4
205,2,长椿街,116.3578217,39.89773393,205,2号线,长椿街,5
206,2,宣武门,116.3692409,39.89825592,206,2号线,宣武门,6
207,2,和平门,116.3789311,39.89862344,207,2号线,和平门,7
208,2,前门,116.3928277,39.89935449,208,2号线,前门,8
209,2,崇文门,116.4120178,39.90052512,209,2号线,崇文门,9
210,2,北京站,116.4211903,39.90411974,210,2号线,北京站,10
211,2,建国门,116.4298012,39.90785496,120,2号线,建国门,11
212,2,朝阳门,116.4290248,39.9224863,212,2号线,朝阳门,12
213,2,东四十条,116.4280707,39.93172199,213,2号线,东四十条,13
214,2,东直门,116.4271658,39.93922871,214,2号线,东直门,14
215,2,雍和宫,116.4105928,39.9480888,215,2号线,雍和宫,15
216,2,安定门,116.4022397,39.94789293,216,2号线,安定门,16
217,2,鼓楼大街,116.389323,39.94769953,217,2号线,鼓楼大街,17
218,2,积水潭,116.3666379,39.9472716,218,2号线,积水潭,18
421,4,安河桥北,116.2640463,40.01005968,421,4号线,安河桥北,21
423,4,北宫门,116.2713336,39.99991987,423,4号线,北宫门,23
425,4,西苑,116.2859321,39.99582291,425,4号线,西苑,25
427,4,圆明园,116.3041967,39.99720386,427,4号线,圆明园,27
429,4,北京大学东门,116.309533,39.98940047,429,4号线,北京大学东门,29
431,4,中关村,116.30989879999998,39.98330552,431,4号线,中关村,31
433,4,海淀黄庄,116.3105308,39.97400596,433,4号线,海淀黄庄,33
435,4,人民大学,116.3151394,39.96497311,435,4号线,人民大学,35
437,4,魏公村,116.3167251,39.95500366,437,4号线,魏公村,37
439,4,国家图书馆,116.3187115,39.94115486,439,4号线,国家图书馆,39
441,4,动物园,116.3340266,39.93638051,441,4号线,动物园,41
443,4,西直门,116.3494,39.93882741,201,4号线,西直门,43
445,4,新街口,116.3612842,39.93912766,445,4号线,新街口,45
447,4,平安里,116.36662920000002,39.93171786,447,4号线,平安里,47
449,4,西四,116.3672029,39.92277782,449,4号线,西四,49
451,4,灵境胡同,116.3674514,39.91483568,451,4号线,灵境胡同,51
453,4,西单,116.3694193,39.90557898,115,4号线,西单,53
455,4,宣武门,116.368113,39.89884419,206,4号线,宣武门,55
457,4,菜市口,116.3682018,39.88790206,457,4号线,菜市口,57
459,4,陶然亭,116.3683834,39.87702346,459,4号线,陶然亭,59
461,4,北京南站,116.37328909999998,39.86331546,461,4号线,北京南站,61
463,4,马家堡,116.3656704,39.85175496,463,4号线,马家堡,63
465,4,角门西,116.3656903,39.84451398,465,4号线,角门西,65
467,4,公益西桥,116.3657754,39.83399503,467,4号线,公益西桥,67
521,5,天通苑北,116.4056574,40.08146183,521,5号线,天通苑北,21
523,5,天通苑,116.4057288,40.07324873,523,5号线,天通苑,23
525,5,天通苑南,116.4057112,40.06447679,525,5号线,天通苑南,25
527,5,立水桥,116.4047756,40.05076481,527,5号线,立水桥,27
529,5,立水桥南,116.4075009,40.04053891,529,5号线,立水桥南,29
531,5,北苑路北,116.4111628,40.02893976,531,5号线,北苑路北,31
533,5,大屯路东,116.410148,40.00257377,533,5号线,大屯路东,33
535,5,惠新西街北口,116.4103653,39.98683217,535,5号线,惠新西街北口,35
537,5,惠新西街南口,116.4107413,39.97578354,537,5号线,惠新西街南口,37
539,5,和平西桥,116.4112917,39.96757272,539,5号线,和平西桥,39
541,5,和平里北街,116.4119366,39.95786734,541,5号线,和平里北街,41
543,5,雍和宫,116.4100604,39.94740163,215,5号线,雍和宫,43
545,5,北新桥,116.410491,39.93949637,545,5号线,北新桥,45
547,5,张自忠路,116.4108469,39.93210408,547,5号线,张自忠路,47
549,5,东四,116.4127599,39.92317961,549,5号线,东四,49
551,5,灯市口,116.4117202,39.91481654,551,5号线,灯市口,51
553,5,东单,116.4126565,39.90677435,119,5号线,东单,53
555,5,崇文门,116.4132243,39.8989101,209,5号线,崇文门,55
557,5,磁器口,116.4128287,39.89182917,557,5号线,磁器口,57
559,5,天坛东门,116.4147752,39.88154482,559,5号线,天坛东门,59
561,5,蒲黄榆,116.415751,39.86436569,561,5号线,蒲黄榆,61
563,5,刘家窑,116.4165841,39.85569679,563,5号线,刘家窑,63
565,5,宋家庄,116.4230788,39.84483159,565,5号线,宋家庄,65
621,6,海淀五路居,116.2700322,39.93073565,621,6号线,海淀五路居,21
