,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,201,202,203,205,206,207,208,209,210,212,213,214,215,216,217,218,421,423,425,427,429,431,433,435,437,439,441,445,447,449,451,457,459,461,463,465,467,521,523,525,527,529,531,533,535,537,539,541,545,547,549,551,557,559,561,563,565,621,623,625,627,631,637,639,645,647,649,651,653,655,657,659,661,663,665,669,673,675,677,721,723,725,727,731,733,735,739,741,743,745,747,749,751,753,755,759,761,805,807,809,811,813,815,817,819,821,823,825,827,829,831,837,925,931,933,935,937,939,941,943,945,1001,1003,1007,1009,1011,1013,1015,1019,1023,1025,1027,1029,1031,1033,1037,1043,1323,1327,1329,1331,1333,1335,1341,1343,1347,1349,1421,1423,1425,1427,1429,1475,1477,1479,1483,1485,1487,1489,1491,1493,1525,1527,1529,1533,1537,1545,1547,1549,1551,1553,1555,1557,1559,1561,1563,9023,9025,9027,9029,9033,9035,9037,9041,9043,9045,9047,9049,9051,9055,9059,9063,9065,9067,9321,9323,9325,9327,9329,9331,9333,9335,9337,9339,9341,9429,9431,9433,9435,9439,9523,9525,9527,9529,9531,9533,9535,9537,9539,9541,9623,9625,9627,9629,9631,9633,9635,9637,9639,9641,9643,9645,9703,9704,9705,9706,9707,9708,9709,9710,9711,9712,9713,9825,9827
103,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,15,15,14,15,16,17,13,12,12,12,13,14,15,16,16,14,15,16,17,18,17,18,20,19,18,17,16,15,14,13,12,11,12,14,13,14,13,13,14,15,16,16,17,24,23,22,21,22,22,21,20,19,19,18,17,16,15,16,17,18,19,20,20,10,9,10,10,11,14,15,13,12,11,12,13,14,15,16,17,18,19,20,21,22,23,9,10,11,12,14,15,16,17,16,15,16,17,18,19,20,21,22,23,20,21,22,22,21,22,23,24,23,22,21,20,19,18,16,9,10,9,10,11,12,13,14,15,13,14,15,15,16,17,18,20,18,17,16,15,14,13,13,16,14,16,17,18,19,20,20,19,18,17,15,14,13,12,11,13,14,15,16,17,18,19,20,21,24,23,22,21,20,19,20,21,22,23,24,25,26,27,28,17,18,19,20,19,18,17,15,14,13,12,11,10,8,8,10,11,12,18,19,20,21,22,23,24,25,26,27,28,24,23,22,21,19,16,17,18,19,20,21,22,23,24,25,21,22,23,24,25,26,27,28,29,30,31,32,18,19,20,21,22,23,24,25,26,27,28,17,18
104,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,14,14,13,14,15,16,12,11,11,11,12,13,14,15,15,13,14,15,16,17,16,17,19,18,17,16,15,14,13,12,11,10,11,13,12,13,12,12,13,14,15,15,16,23,22,21,20,21,21,20,19,18,18,17,16,15,14,15,16,17,18,19,19,9,8,9,9,10,13,14,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,8,9,10,11,13,14,15,16,15,14,15,16,17,18,19,20,21,22,19,20,21,21,20,21,22,23,22,21,20,19,18,17,15,8,9,8,9,10,11,12,13,14,12,13,14,14,15,16,17,19,17,16,15,14,13,12,12,15,13,15,16,17,18,19,19,18,17,16,14,13,12,11,10,12,13,14,15,16,17,18,19,20,23,22,21,20,19,18,19,20,21,22,23,24,25,26,27,16,17,18,19,18,17,16,14,13,12,11,10,9,7,7,9,10,11,17,18,19,20,21,22,23,24,25,26,27,23,22,21,20,18,15,16,17,18,19,20,21,22,23,24,20,21,22,23,24,25,26,27,28,29,30,31,17,18,19,20,21,22,23,24,25,26,27,16,17
105,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,13,13,12,13,14,15,11,10,10,10,11,12,13,14,14,12,13,14,15,16,15,16,18,17,16,15,14,13,12,11,10,9,10,12,11,12,11,11,12,13,14,14,15,22,21,20,19,20,20,19,18,17,17,16,15,14,13,14,15,16,17,18,18,8,7,8,8,9,12,13,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,7,8,9,10,12,13,14,15,14,13,14,15,16,17,18,19,20,21,18,19,20,20,19,20,21,22,21,20,19,18,17,16,14,7,8,7,8,9,10,11,12,13,11,12,13,13,14,15,16,18,16,15,14,13,12,11,11,14,12,14,15,16,17,18,18,17,16,15,13,12,11,10,9,11,12,13,14,15,16,17,18,19,22,21,20,19,18,17,18,19,20,21,22,23,24,25,26,15,16,17,18,17,16,15,13,12,11,10,9,8,6,6,8,9,10,16,17,18,19,20,21,22,23,24,25,26,22,21,20,19,17,14,15,16,17,18,19,20,21,22,23,19,20,21,22,23,24,25,26,27,28,29,30,16,17,18,19,20,21,22,23,24,25,26,15,16
106,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,12,12,11,12,13,14,10,9,9,9,10,11,12,13,13,11,12,13,14,15,14,15,17,16,15,14,13,12,11,10,9,8,9,11,10,11,10,10,11,12,13,13,14,21,20,19,18,19,19,18,17,16,16,15,14,13,12,13,14,15,16,17,17,7,6,7,7,8,11,12,10,9,8,9,10,11,12,13,14,15,16,17,18,19,20,6,7,8,9,11,12,13,14,13,12,13,14,15,16,17,18,19,20,17,18,19,19,18,19,20,21,20,19,18,17,16,15,13,6,7,6,7,8,9,10,11,12,10,11,12,12,13,14,15,17,15,14,13,12,11,10,10,13,11,13,14,15,16,17,17,16,15,14,12,11,10,9,8,10,11,12,13,14,15,16,17,18,21,20,19,18,17,16,17,18,19,20,21,22,23,24,25,14,15,16,17,16,15,14,12,11,10,9,8,7,5,5,7,8,9,15,16,17,18,19,20,21,22,23,24,25,21,20,19,18,16,13,14,15,16,17,18,19,20,21,22,18,19,20,21,22,23,24,25,26,27,28,29,15,16,17,18,19,20,21,22,23,24,25,14,15
107,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,11,11,10,11,12,13,9,8,8,8,9,10,11,12,12,10,11,12,13,14,13,14,16,15,14,13,12,11,10,9,8,7,8,10,9,10,9,9,10,11,12,12,13,20,19,18,17,18,18,17,16,15,15,14,13,12,11,12,13,14,15,16,16,6,5,6,6,7,10,11,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,5,6,7,8,10,11,12,13,12,11,12,13,14,15,16,17,18,19,16,17,18,18,17,18,19,20,19,18,17,16,15,14,12,5,6,5,6,7,8,9,10,11,9,10,11,11,12,13,14,16,14,13,12,11,10,9,9,12,10,12,13,14,15,16,16,15,14,13,11,10,9,8,7,9,10,11,12,13,14,15,16,17,20,19,18,17,16,15,16,17,18,19,20,21,22,23,24,13,14,15,16,15,14,13,11,10,9,8,7,6,4,4,6,7,8,14,15,16,17,18,19,20,21,22,23,24,20,19,18,17,15,12,13,14,15,16,17,18,19,20,21,17,18,19,20,21,22,23,24,25,26,27,28,14,15,16,17,18,19,20,21,22,23,24,13,14
108,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,10,10,9,10,11,12,8,7,7,7,8,9,10,11,11,9,10,11,12,13,12,13,15,14,13,12,11,10,9,8,7,6,7,9,8,9,8,8,9,10,11,11,12,19,18,17,16,17,17,16,15,14,14,13,12,11,10,11,12,13,14,15,15,5,4,5,5,6,9,10,8,7,6,7,8,9,10,11,12,13,14,15,16,17,18,4,5,6,7,9,10,11,12,11,10,11,12,13,14,15,16,17,18,15,16,17,17,16,17,18,19,18,17,16,15,14,13,11,4,5,4,5,6,7,8,9,10,8,9,10,10,11,12,13,15,13,12,11,10,9,8,8,11,9,11,12,13,14,15,15,14,13,12,10,9,8,7,6,8,9,10,11,12,13,14,15,16,19,18,17,16,15,14,15,16,17,18,19,20,21,22,23,12,13,14,15,14,13,12,10,9,8,7,6,5,3,3,5,6,7,13,14,15,16,17,18,19,20,21,22,23,19,18,17,16,14,11,12,13,14,15,16,17,18,19,20,16,17,18,19,20,21,22,23,24,25,26,27,13,14,15,16,17,18,19,20,21,22,23,12,13
109,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,9,9,8,9,10,11,7,6,6,6,7,8,9,10,10,8,9,10,11,12,11,12,14,13,12,11,10,9,8,7,6,5,6,8,7,8,7,7,8,9,10,10,11,18,17,16,15,16,16,15,14,13,13,12,11,10,9,10,11,12,13,14,14,4,3,4,4,5,8,9,7,6,5,6,7,8,9,10,11,12,13,14,15,16,17,3,4,5,6,8,9,10,11,10,9,10,11,12,13,14,15,16,17,14,15,16,16,15,16,17,18,17,16,15,14,13,12,10,3,4,3,4,5,6,7,8,9,7,8,9,9,10,11,12,14,12,11,10,9,8,7,7,10,8,10,11,12,13,14,14,13,12,11,9,8,7,6,5,7,8,9,10,11,12,13,14,15,18,17,16,15,14,13,14,15,16,17,18,19,20,21,22,11,12,13,14,13,12,11,9,8,7,6,5,4,2,2,4,5,6,12,13,14,15,16,17,18,19,20,21,22,18,17,16,15,13,10,11,12,13,14,15,16,17,18,19,15,16,17,18,19,20,21,22,23,24,25,26,12,13,14,15,16,17,18,19,20,21,22,11,12
110,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,8,8,7,8,9,10,6,5,5,5,6,7,8,9,9,7,8,9,10,11,10,11,13,12,11,10,9,8,7,6,5,4,5,7,6,7,6,6,7,8,9,9,10,17,16,15,14,15,15,14,13,12,12,11,10,9,8,9,10,11,12,13,13,3,2,3,3,4,7,8,6,5,4,5,6,7,8,9,10,11,12,13,14,15,16,2,3,4,5,7,8,9,10,9,8,9,10,11,12,13,14,15,16,13,14,15,15,14,15,16,17,16,15,14,13,12,11,9,2,3,2,3,4,5,6,7,8,6,7,8,8,9,10,11,13,11,10,9,8,7,6,6,9,7,9,10,11,12,13,13,12,11,10,8,7,6,5,4,6,7,8,9,10,11,12,13,14,17,16,15,14,13,12,13,14,15,16,17,18,19,20,21,10,11,12,13,12,11,10,8,7,6,5,4,3,1,1,3,4,5,11,12,13,14,15,16,17,18,19,20,21,17,16,15,14,12,9,10,11,12,13,14,15,16,17,18,14,15,16,17,18,19,20,21,22,23,24,25,11,12,13,14,15,16,17,18,19,20,21,10,11
111,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,9,8,9,10,11,5,4,4,4,5,6,7,8,9,8,9,10,11,10,9,10,12,11,10,9,8,7,6,5,4,3,4,6,5,6,5,5,6,7,8,9,10,17,16,15,14,15,16,15,14,13,13,12,10,9,8,9,9,10,11,12,13,4,3,3,2,3,6,7,7,6,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,6,7,8,10,10,9,10,11,12,13,14,15,16,17,12,13,14,14,13,14,15,16,15,14,13,12,11,10,8,1,2,3,4,5,6,7,8,9,7,7,7,7,8,9,10,12,12,11,10,9,8,7,7,10,6,8,9,10,11,12,14,13,12,11,9,8,7,6,5,7,8,9,10,11,12,13,14,15,16,15,14,14,14,13,14,15,16,17,18,19,20,21,22,11,12,13,14,12,11,10,9,8,7,6,5,4,2,2,4,5,6,11,12,13,14,15,16,17,18,19,20,21,16,15,14,13,11,10,11,12,13,14,15,16,17,18,19,14,15,16,17,18,19,20,21,22,23,24,25,12,13,14,15,16,17,18,19,20,21,22,11,12
