from,to,cost
214,1027,3.4423857695991287
9535,9533,1.1538166870896536
831,829,0.9586866877164355
1343,1341,5.345530845100171
9025,9027,0.9439610401219338
9537,9539,1.1191557340382607
1027,9825,17.212395611341275
9710,9711,1.2327955429591446
623,9063,1.6149465445570979
9321,467,2.7317212384305556
1019,829,1.1530399215999216
113,114,0.49508553554548723
549,547,1.004315967180555
213,212,1.028706877044625
1343,1487,1.8005401984883571
9033,9035,1.148843878059237
1335,1333,1.3336382757543963
9527,9525,3.34315799018759
122,1037,0.9082668288726442
941,939,0.974080458214181
651,653,1.359040409433352
9043,9045,1.149585230682838
9059,623,1.1027634069174745
1331,9439,4.625961432034947
739,557,0.8839812180657839
939,937,1.5649729317351475
461,463,1.4396577757042264
563,561,0.9651610311236188
9045,9047,1.288251896408753
1331,1329,2.478614494315513
105,106,1.9448944987911356
1485,1487,0.8046062589645872
1479,1477,2.359653500015647
9708,9707,1.5714107673653352
107,108,1.7920508668070407
1477,1475,1.0780566764791404
109,110,1.307948774225115
122,743,2.5904740354042612
817,819,1.1513403692881916
1009,1011,1.1213707836139082
9037,465,1.2489992849412066
111,110,0.9521044664738312
807,809,1.9378076303029377
943,945,1.2478518945566648
9433,9431,2.0369952247372836
9709,9708,1.4005475046504066
537,1023,1.6653173645679895
9827,9825,3.4022018298895667
9629,9631,0.883234254634963
745,747,0.8400060599881473
215,545,0.9540876975168269
103,104,2.12945184594019
759,761,1.1229911437560756
9037,9035,1.2241932017208879
1493,1491,1.0202185910185484
673,675,3.0770479124850936
119,209,0.6677449972570751
523,521,0.9119710889276853
9067,1001,0.6657327216668862
1525,1527,2.4373502188536156
9525,9527,3.34315799018759
1547,1545,1.612169434988089
201,202,0.8342446635855731
1333,1335,1.3336382757543963
9623,565,2.1998974459536553
115,451,1.0613051981797763
731,457,0.9614628482309017
9337,9335,1.49073365456544
631,627,1.5609408990753753
205,206,0.9782972861849858
217,216,1.1040551814852295
647,1037,0.7713843687107831
9339,9337,2.7484600295150723
457,727,1.2691927969642822
124,123,1.5159205036900567
202,631,0.9613119779992513
120,212,1.7289106171125088
639,637,1.5479528907688191
214,215,1.7245208965803578
423,421,1.2863805430579254
935,933,1.9172758419183247
9639,9637,1.9292598648727115
212,645,1.2794733680538077
209,208,1.6462452287666203
1429,935,1.3642378000895814
933,931,1.092483526823205
743,745,1.7914295010579462
9637,9635,1.3699058695496396
9439,1331,4.625961432034947
121,120,1.2577958099848832
741,743,2.1143568192610385
9635,9633,1.3786656706066969
837,217,0.7182286991423316
9335,9333,1.1290433719808266
459,461,1.5788370786884618
565,563,1.328266021132766
1483,1485,0.7178545280612136
125,124,1.654124076764836
943,941,0.8972448852889062
110,9055,1.2749460240024084
9825,9827,3.4022018298895667
9623,9625,1.1871669912749971
9631,9629,0.883234254634963
653,655,3.947553882002055
755,753,0.6071127685533942
9055,933,1.664227419548683
1529,825,1.2802856169916945
825,1529,1.2802856169916945
9705,9706,1.883317462061305
9710,9709,1.016755601730067
9439,805,2.351045174398603
9323,9321,3.996777530433244
108,107,1.7920508668070407
113,112,1.411207532189933
805,9439,2.351045174398603
445,447,0.9410707533637048
9539,9537,1.1191557340382607
549,639,1.5449491307514474
105,104,2.020130413256513
201,1323,3.0579222155987646
9711,9710,1.2327955429591446
547,549,1.004315967180555
733,731,1.1946012327376865
109,108,1.7689240587523694
1003,433,1.8487055392396454
935,1429,1.3642378000895814
433,1003,1.8487055392396454
1487,1343,1.8005401984883571
9065,9067,1.0853384414633915
216,215,0.7141755127903807
9703,9704,1.9597914314043332
823,825,0.8077747016344277
1011,1013,1.3611627044421504
747,749,0.5359951416012342
9331,9333,1.1710478879722328
429,431,0.6774697519606279
9333,9335,1.1290433719808266
1533,825,1.3179812723028845
825,823,0.8077747016344277
1031,1033,0.7498446636925069
1529,1527,0.9200210246598354
9529,9527,1.9741696920907266
631,202,0.9613119779992513
557,739,0.8839812180657839
445,201,1.0620939863677965
827,825,1.6729546308192549
9531,9529,1.4849331968641906
1043,9023,1.1204913274871748
447,445,0.9410707533637048
449,451,0.8820960960997184
1473,1475,0.4744043600639202
110,111,0.9521044664738312
731,733,1.1946012327376865
9063,9065,1.1622850363055057
9327,9329,1.1026449794998328
122,123,1.4100670314578403
206,115,0.7891046857275049
439,437,1.5470243917726902
214,213,0.8370775986957565
809,807,1.9378076303029377
437,435,1.115207460520788
535,537,1.2271969392353863
659,661,1.435262673641211
9431,9433,2.0369952247372836
457,206,1.1530457413344204
1559,1561,1.3557799839400608
435,433,1.07746596225422
725,727,1.8804600244911525
811,809,1.4089606100218262
9429,9431,4.66872860649136
1533,1537,1.85767423838212
114,115,1.2781577582329127
9713,9712,0.7483463515019743
9029,9027,0.7094496964636631
837,639,1.4202742610717567
829,831,0.9586866877164355
1027,1025,1.4481623111524349
1341,1343,5.345530845100171
9533,9535,1.1538166870896536
721,111,1.4632910961783558
106,107,1.4969958059971096
623,9059,1.1027634069174745
215,214,1.7245208965803578
9705,9704,1.9040438492725853
815,817,1.5640656021098052
829,1019,1.1530399215999216
1327,1329,4.831480100946985
203,202,0.9731679191347282
1027,214,3.4423857695991287
925,627,1.0683420690910264
210,120,0.8945155967560382
9051,9049,1.2996426240252137
627,439,1.1188723154875861
1331,1333,2.399240260115634
9523,9525,6.561427113866188
461,459,1.5788370786884618
563,565,1.328266021132766
649,647,1.3704592619316533
939,941,0.974080458214181
9045,9043,1.149585230682838
9327,9325,1.422088234543169
9633,9635,1.3786656706066969
1343,1537,1.603471114631766
723,721,0.7919436456920758
813,815,1.5485449284235968
531,529,1.3252961329227997
1555,1553,3.3529529801323235
9059,110,2.0900384958437526
647,649,1.3704592619316533
945,943,1.2478518945566648
1327,1009,1.8511055568809156
9329,9327,1.1026449794998328
645,647,0.9879807813661642
216,217,1.1040551814852295
557,209,0.9680216605551616
111,721,1.4632910961783558
9023,9025,1.565672167740755
9025,9023,1.565672167740755
9535,9537,1.6674030303856808
1025,1027,1.4481623111524349
467,9321,2.7317212384305556
9537,9535,1.6674030303856808
1015,829,1.0419707381803225
807,805,1.981091664268527
9433,9435,1.896160797793048
9051,649,16.091240684290057
529,527,1.1590115438769477
208,209,1.6462452287666203
202,447,1.4249537207486398
751,753,1.4583212060919704
1553,1551,1.6733241405974053
9707,9706,1.7562544517934822
9629,9627,1.7583770680240098
9627,9625,2.2744321566561414
111,925,1.7887542454874934
1001,9067,0.6657327216668862
1547,1549,2.663340365181337
663,665,1.6369610162290735
523,525,0.97400190305921
9047,9049,0.8842328741688213
721,723,0.7919436456920758
815,813,1.5485449284235968
9041,9043,1.570631456091564
1333,1331,2.399240260115634
9525,9523,6.561427113866188
661,663,1.8779777767522565
627,625,1.3070176084238838
525,527,1.5246111253107861
110,109,1.307948774225115
1549,1551,3.5716121518929422
1421,1423,2.1269467658548917
9337,9339,2.7484600295150723
119,120,1.607402381514339
122,121,0.9101378871498415
647,1033,1.2039830717189821
9339,9341,2.0988490736103453
457,731,0.9614628482309017
637,639,1.5479528907688191
1037,122,0.9082668288726442
813,527,4.99242376946809
1023,1347,0.8505776850566201
1335,813,1.9055569426835877
201,441,1.3019780109792918
9329,9331,1.352256115018459
114,113,0.49508553554548723
743,741,2.1143568192610385
205,114,0.949921469280457
209,119,0.6677449972570751
741,739,0.8999882431536882
931,933,1.092483526823205
9635,9637,1.3699058695496396
116,117,0.9817823523867456
805,807,1.981091664268527
9435,9433,1.896160797793048
9321,9323,3.996777530433244
451,115,1.0613051981797763
208,207,1.1911997455058043
110,9059,2.0900384958437526
106,105,1.9448944987911356
9323,9325,1.3464303676273461
653,651,1.359040409433352
1429,1427,2.094721511510776
825,1533,1.3179812723028845
1537,1343,1.603471114631766
529,531,1.3252961329227997
751,749,0.9449993203867166
1553,1555,3.3529529801323235
9055,110,1.2749460240024084
621,623,1.6569213236179345
9035,9033,1.148843878059237
1427,1425,1.4411621601301365
9325,9327,1.422088234543169
9523,945,1.0691806809245539
1485,1483,0.7178545280612136
669,673,1.3828260789803908
9051,933,1.5587848482588913
9435,805,3.3669218213050973
805,9435,3.3669218213050973
1347,1349,1.4011154969627249
1551,1553,1.6733241405974053
753,751,1.4583212060919704
1329,1327,4.831480100946985
813,1335,1.9055569426835877
527,813,4.99242376946809
9539,9541,2.0944827149134313
463,465,0.8039802357227649
527,529,1.1590115438769477
561,559,1.9092624303707266
114,205,0.949921469280457
565,9623,2.1998974459536553
120,119,1.607402381514339
1487,1489,1.657680265039371
125,9703,1.4330864490109654
945,9523,1.0691806809245539
212,120,1.7289106171125088
627,925,1.0683420690910264
1043,743,1.0334609366971697
657,655,1.2810748550330626
433,1007,1.0199575061948658
9625,9623,1.1871669912749971
739,741,0.8999882431536882
1323,1009,1.020179665424107
212,213,1.028706877044625
645,212,1.2794733680538077
823,821,2.0771632462390164
9645,9643,1.2029982874496388
9333,9331,1.1710478879722328
665,669,1.936801898260277
429,427,0.9789889187706099
1033,647,1.2039830717189821
819,817,1.1513403692881916
9643,9641,1.866386471880088
427,425,1.5672825773641206
9529,9531,1.4849331968641906
825,827,1.6729546308192549
1031,1029,0.7780314667786477
104,103,2.12945184594019
669,665,1.936801898260277
557,735,1.000774807946198
9707,9708,1.5714107673653352
827,829,1.072130140786566
9531,9533,1.7095693697406018
9825,1027,17.212395611341275
451,449,0.8820960960997184
1475,1473,0.4744043600639202
209,557,0.9680216605551616
207,208,1.1911997455058043
1023,1025,1.0297392765522855
1025,1023,1.0297392765522855
463,461,1.4396577757042264
527,525,1.5246111253107861
561,563,0.9651610311236188
753,755,0.6071127685533942
1329,1331,2.478614494315513
1487,1485,0.8046062589645872
217,837,0.7182286991423316
1551,1549,3.5716121518929422
1473,649,1.4395892268170714
431,433,1.0339797151721473
465,463,0.8039802357227649
559,561,1.9092624303707266
9049,9047,0.8842328741688213
1489,1487,1.657680265039371
9708,9709,1.4005475046504066
935,9051,0.9179059208379352
535,533,1.747959682151161
727,725,1.8804600244911525
809,811,1.4089606100218262
1001,1003,0.7853132289512085
1559,1557,2.639624040280957
9431,9429,4.66872860649136
447,202,1.4249537207486398
811,813,1.2233664826779607
435,437,1.115207460520788
725,723,0.7603868751196712
1033,1031,0.7498446636925069
657,659,1.8105486762824357
1527,1529,0.9200210246598354
1013,1015,0.9879771379040055
467,465,1.1679579851860808
557,559,1.153970552751973
749,751,0.9449993203867166
821,823,2.0771632462390164
1491,1489,1.1094333621508998
206,207,0.8297122419223825
441,439,1.412251925727499
655,657,1.2810748550330626
829,827,1.072130140786566
1027,1029,1.7823343726590655
9533,9531,1.7095693697406018
1029,1031,0.7780314667786477
755,759,2.7380554482449178
447,449,0.9938523156899534
449,447,0.9938523156899534
9631,9633,1.3062646696657765
9033,565,1.2923556336823359
1347,1023,0.8505776850566201
9051,935,0.9179059208379352
551,549,0.9328221640011436
829,1015,1.0419707381803225
114,203,1.947391687504897
537,535,1.2271969392353863
677,675,2.6350461266760163
1561,1559,1.3557799839400608
115,114,1.2781577582329127
539,537,0.9128926476639779
639,549,1.5449491307514474
675,673,3.0770479124850936
1009,1323,1.020179665424107
1563,1561,2.249257443919814
120,121,1.2577958099848832
649,651,2.0885214721618754
735,557,1.000774807946198
9641,9639,2.4398798374450372
937,935,1.243623508147553
425,423,1.3270649456086618
531,533,2.9288276942433744
723,725,0.7603868751196712
431,429,0.6774697519606279
465,467,1.1679579851860808
559,557,1.153970552751973
813,811,1.2233664826779607
1489,1491,1.1094333621508998
124,125,1.654124076764836
639,837,1.4202742610717567
1003,1001,0.7853132289512085
533,535,1.747959682151161
1557,1559,2.639624040280957
647,645,0.9879807813661642
9704,9703,1.9597914314043332
465,9037,1.2489992849412066
112,113,1.411207532189933
933,9055,1.664227419548683
9027,9025,0.9439610401219338
727,457,1.2691927969642822
565,9033,1.2923556336823359
655,653,3.947553882002055
118,119,0.4051826587947026
104,105,2.020130413256513
1023,537,1.6653173645679895
9627,9629,1.7583770680240098
439,627,1.1188723154875861
1555,1557,4.300254312944646
743,122,2.5904740354042612
545,215,0.9540876975168269
108,109,1.7689240587523694
549,551,0.9328221640011436
1323,201,3.0579222155987646
663,661,1.8779777767522565
9047,9045,1.288251896408753
1487,1545,3.385297926903323
673,669,1.3828260789803908
1537,1533,1.85767423838212
525,523,0.97400190305921
661,659,1.435262673641211
1549,1547,2.663340365181337
9527,9529,1.9741696920907266
447,637,1.1540003699981793
649,1473,1.4395892268170714
651,649,2.0885214721618754
941,943,0.8972448852889062
9043,9041,1.570631456091564
541,215,1.0918032538122466
119,551,0.920042083755462
1007,433,1.0199575061948658
761,759,1.1229911437560756
9341,9339,2.0988490736103453
9063,623,1.6149465445570979
1477,1479,2.359653500015647
214,1349,1.9422414117019815
201,445,1.0620939863677965
9029,565,0.9014151697836912
112,111,1.225101932837105
465,9041,1.630126995060226
202,203,0.9731679191347282
206,205,0.9782972861849858
565,9029,0.9014151697836912
218,217,1.9392335067284263
541,539,1.079034108912273
623,625,1.3469394328872553
665,663,1.6369610162290735
1425,1423,1.9619372103826742
9023,1043,1.1204913274871748
637,447,1.1540003699981793
457,459,1.2079766763912618
537,1019,0.8719755374603039
212,549,1.3926140102110056
745,743,1.7914295010579462
9035,9037,1.2241932017208879
1427,1429,2.094721511510776
9325,9323,1.3464303676273461
210,209,0.8800937443411644
207,206,0.8297122419223825
9703,125,1.4330864490109654
115,116,1.6066062202646316
1349,1347,1.4011154969627249
9712,9713,0.7483463515019743
9541,9539,2.0944827149134313
117,118,0.7999218302485834
9633,9631,1.3062646696657765
9706,9707,1.7562544517934822
9704,9705,1.9040438492725853
9625,9627,2.2744321566561414
831,217,2.165368578872617
206,457,1.1530457413344204
423,425,1.3270649456086618
935,937,1.243623508147553
9639,9641,2.4398798374450372
421,423,1.2863805430579254
933,935,1.9172758419183247
9637,9639,1.9292598648727115
111,112,1.225101932837105
118,117,0.7999218302485834
427,429,0.9789889187706099
819,821,2.3694440115838824
9335,9337,1.49073365456544
123,122,1.4100670314578403
623,621,1.6569213236179345
1425,1427,1.4411621601301365
9643,9645,1.2029982874496388
459,457,1.2079766763912618
215,216,0.7141755127903807
433,431,1.0339797151721473
625,623,1.3469394328872553
759,755,2.7380554482449178
1423,1425,1.9619372103826742
1475,1477,1.0780566764791404
213,214,0.8370775986957565
9712,9711,1.2346966091235894
627,631,1.5609408990753753
1023,1343,2.187285759557832
201,218,1.77238924976774
119,118,0.4051826587947026
1019,537,0.8719755374603039
743,1043,1.0334609366971697
9049,9051,1.2996426240252137
1479,1483,2.834819473695798
1007,1009,1.014122133224206
107,106,1.4969958059971096
649,9051,16.091240684290057
217,831,2.165368578872617
547,545,0.8213546066867387
733,735,0.7011805158804185
521,523,0.9119710889276853
721,931,0.976615024486571
1015,1013,0.9879771379040055
1527,1525,2.4373502188536156
1545,1547,1.612169434988089
1349,214,1.9422414117019815
551,119,0.920042083755462
202,201,0.8342446635855731
821,819,2.3694440115838824
1013,1011,1.3611627044421504
749,747,0.5359951416012342
9065,9063,1.1622850363055057
1491,1493,1.0202185910185484
747,745,0.8400060599881473
1011,1009,1.1213707836139082
9067,9065,1.0853384414633915
9331,9329,1.352256115018459
549,212,1.3926140102110056
116,115,1.6066062202646316
441,201,1.3019780109792918
1029,1027,1.7823343726590655
1483,1479,2.834819473695798
1545,1487,3.385297926903323
9709,9710,1.016755601730067
925,111,1.7887542454874934
931,721,0.976615024486571
433,435,1.07746596225422
625,627,1.3070176084238838
1423,1421,2.1269467658548917
215,541,1.0918032538122466
537,539,0.9128926476639779
1561,1563,2.249257443919814
539,541,1.079034108912273
675,677,2.6350461266760163
1009,1327,1.8511055568809156
117,116,0.9817823523867456
217,218,1.9392335067284263
9041,465,1.630126995060226
425,427,1.5672825773641206
937,939,1.5649729317351475
1037,647,0.7713843687107831
527,1341,2.2297254314062425
9641,9643,1.866386471880088
9711,9712,1.2346966091235894
9706,9705,1.883317462061305
439,441,1.412251925727499
533,531,2.9288276942433744
1557,1555,4.300254312944646
545,547,0.8213546066867387
735,733,0.7011805158804185
120,210,0.8945155967560382
437,439,1.5470243917726902
659,657,1.8105486762824357
115,206,0.7891046857275049
933,9051,1.5587848482588913
203,114,1.947391687504897
817,815,1.5640656021098052
1009,1007,1.014122133224206
209,210,0.8800937443411644
9027,9029,0.7094496964636631
121,122,0.9101378871498415
1341,527,2.2297254314062425
123,124,1.5159205036900567
1343,1023,2.187285759557832
