,8,11,12,13,14,15,19,20,21,22,23,24,25,27,28,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,70,98,99,102,103,126,127,128,129,130,132,133,480,481,482,483,511,512,513,514,515,516,517,518,519,521,522,523,524,525,526,527,528,529,592,593,594,595,832,856,857,859,860,862,863,877,878,879,880,881,882,883,884,885,886,887,888,889,890,892,893,894,895,896,897,900,901,902,903,906,907,908,909,910,911,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,946
8,0,2,3,4,5,7,8,9,1,11,12,13,14,17,18,1,20,19,18,17,16,16,17,18,24,22,21,20,19,19,20,21,22,23,24,25,5,3,10,15,23,4,16,19,18,17,19,15,21,2,9,10,2,9,8,7,6,5,4,3,3,3,3,4,5,6,7,11,12,13,8,14,11,12,13,16,15,14,14,15,16,17,5,6,7,8,9,10,11,12,13,14,15,16,17,18,15,15,16,17,18,5,2,3,4,5,14,13,12,11,10,9,3,3,4,5,2,3,4,5,6,7,9,10,7,11,12,6,5,4,3,2,15,13,14,16,17,18,2,8,26,27,8
11,2,0,1,2,3,5,6,7,1,9,10,11,12,15,16,3,22,21,20,19,18,18,19,20,22,20,19,18,17,17,18,19,20,21,22,23,4,2,8,13,21,3,18,17,19,19,18,17,23,4,11,12,4,11,10,9,8,7,6,5,5,5,5,6,7,8,9,13,14,15,10,12,9,10,11,14,13,12,12,13,14,15,4,4,5,6,7,8,9,10,11,12,13,14,15,16,13,13,14,15,16,4,4,5,6,7,16,15,14,13,12,11,2,2,3,4,1,2,3,4,5,6,8,9,9,10,11,8,7,6,5,4,14,12,13,15,16,17,1,10,24,25,7
12,3,1,0,1,2,4,5,6,2,8,9,10,11,14,15,4,23,22,21,20,19,19,20,21,21,19,18,17,16,16,17,18,19,20,21,22,5,3,7,12,20,4,19,16,18,19,17,18,24,5,12,13,5,12,11,10,9,8,7,6,6,6,6,7,8,9,10,14,15,16,11,11,8,9,10,13,12,11,11,12,13,14,4,3,4,5,6,7,8,9,10,11,12,13,14,15,12,12,13,14,15,5,5,6,7,8,17,16,15,14,13,12,3,3,4,5,2,3,4,5,6,7,9,10,10,11,12,9,8,7,6,5,15,13,14,16,17,18,2,11,23,24,8
13,4,2,1,0,1,3,4,5,3,7,8,9,10,13,14,5,24,23,22,21,20,20,21,22,20,18,17,16,15,15,16,17,18,19,20,21,5,4,6,11,19,4,19,15,17,18,16,19,25,6,13,14,6,13,12,11,10,9,8,7,7,7,7,8,9,10,11,15,16,17,12,10,7,8,9,12,11,10,10,11,12,13,3,2,3,4,5,6,7,8,9,10,11,12,13,14,11,11,12,13,14,4,6,7,8,9,18,17,16,15,14,13,4,4,5,6,3,4,5,6,7,8,10,11,11,12,13,10,9,8,7,6,16,14,15,17,18,19,3,12,22,23,9
14,5,3,2,1,0,2,3,4,4,6,7,8,9,12,13,6,23,22,21,20,19,19,20,21,19,17,16,15,14,14,15,16,17,18,19,20,4,4,5,10,18,3,18,14,16,17,15,19,24,7,14,15,7,14,13,12,11,10,9,8,8,8,8,9,10,11,12,16,17,18,13,9,6,7,8,11,10,9,9,10,11,12,2,1,2,3,4,5,6,7,8,9,10,11,12,13,10,10,11,12,13,3,7,8,9,10,19,18,17,16,15,14,5,5,6,7,4,5,6,7,8,9,11,12,12,13,14,11,10,9,8,7,17,15,16,18,19,20,4,13,21,22,10
15,7,5,4,3,2,0,1,2,6,4,5,6,7,10,11,8,21,20,19,18,17,17,18,19,17,15,14,13,12,12,13,14,15,16,17,18,4,4,3,8,16,3,16,12,14,15,13,17,22,9,16,17,9,16,15,14,13,12,11,10,10,10,10,11,12,13,14,18,19,20,15,7,4,5,6,9,8,7,7,8,9,10,2,1,2,3,4,5,6,7,8,9,10,11,12,13,8,8,9,10,11,3,9,10,11,12,18,19,19,18,17,16,5,5,6,7,6,7,8,9,10,11,13,14,14,15,16,13,12,11,10,9,19,17,18,20,21,22,5,15,19,20,12
19,8,6,5,4,3,1,0,1,7,3,4,5,6,9,10,9,20,19,18,17,16,16,17,18,16,14,13,12,11,11,12,13,14,15,16,17,5,5,2,7,15,4,15,11,13,14,12,16,21,10,17,18,10,17,16,15,14,13,12,11,11,11,11,12,13,14,15,19,20,21,16,6,3,4,5,8,7,6,6,7,8,9,3,2,3,4,5,6,7,8,9,10,11,12,13,14,7,7,8,9,10,4,10,11,12,13,17,18,19,19,18,17,6,6,7,8,7,8,9,10,11,12,14,15,15,16,17,14,13,12,11,10,20,18,19,21,22,23,6,16,18,19,13
20,9,7,6,5,4,2,1,0,8,2,3,4,5,8,9,10,19,18,17,16,15,15,16,17,15,13,12,11,10,10,11,12,13,14,15,16,6,6,1,6,14,5,14,10,12,13,11,15,20,11,18,19,11,18,17,16,15,14,13,12,12,12,12,13,14,15,16,20,21,22,17,5,2,3,4,7,6,5,5,6,7,8,4,3,4,5,6,7,8,9,10,11,12,13,14,15,6,6,7,8,9,5,11,12,13,14,16,17,18,19,19,18,7,7,8,9,8,9,10,11,12,13,15,16,16,17,18,15,14,13,12,11,21,19,20,22,23,24,7,17,17,18,14
21,1,1,2,3,4,6,7,8,0,10,11,12,13,16,17,2,21,20,19,18,17,17,18,19,23,21,20,19,18,18,19,20,21,22,23,24,4,2,9,14,22,3,17,18,19,18,19,16,22,3,10,11,3,10,9,8,7,6,5,4,4,4,4,5,6,7,8,12,13,14,9,13,10,11,12,15,14,13,13,14,15,16,4,5,6,7,8,9,10,11,12,13,14,15,16,17,14,14,15,16,17,4,3,4,5,6,15,14,13,12,11,10,2,2,3,4,1,2,3,4,5,6,8,9,8,10,11,7,6,5,4,3,14,12,13,15,16,17,1,9,25,26,7
