,NAME,STATION,ROUTE,LAT,LON
8,百善站,37,1,40.16962926,116.3227351
11,张喜庄站,1,1,40.1442106775,116.5469254
12,六元桥站,2,1,40.140708395,116.59362335
13,顺义城,3,1,40.113286615,116.62099605
14,顺义南环,4,1,40.07943093,116.63115715
15,通顺路站,5,1,40.01073741,116.6720339
19,徐辛庄,6,1,39.984480115,116.7039106
20,潞苑北街,7,1,39.94928036,116.6996715
21,马坊,38,1,40.159972245,116.3962205
22,小圣庙,9,1,39.883811645,116.70428325
23,土桥,10,1,39.86680018,116.6979651
24,张家湾,11,1,39.83780298,116.6760123
25,次渠站,12,1,39.8043552975,116.63568835
27,南大红门站,15,1,39.725137455,116.4583581
28,磁各庄站,16,1,39.7195754025,116.402529825
47,高教园区,36,1,40.165863035,116.25028025
48,杜家坎匝道,2,2,39.849308884,116.24778594
49,赵辛店站,3,2,39.811514752,116.20033092
50,京良路口,4,2,39.77372062,116.1528759
51,良乡机场,5,2,39.753728136,116.13626714
52,阎村,6,2,39.72767217,116.1053315
53,窦店,7,2,39.6497117825,116.07104165
54,琉璃河,8,2,39.597048875,116.0546967
55,琉璃河南,9,2,39.55643426,116.032557
56,西红门站,1,3,39.79655249,116.3418229
57,高米店,3,3,39.76530984,116.3362283
58,大兴工业区,4,3,39.75608849,116.3370788
59,金华寺,5,3,39.743979045,116.33861195
60,海子角站,6,3,39.71677408,116.3380513
61,天宫院,7,3,39.67034678,116.3185473
62,三融,8,3,39.65356022,116.31768455
63,庞各庄站,9,3,39.637101275,116.31795085
64,薛营桥,10,3,39.60970668,116.3206107
65,梨花桥站,11,3,39.59365515,116.3215189
66,大礼路站,12,3,39.5532779,116.31841915
67,榆垡主站,13,3,39.53337641,116.318805
68,京承主站,1,4,40.0345673566667,116.468085833333
70,沙峪站,3,4,40.091946795,116.474997475
98,常屯,8,1,39.924791905,116.7052013
99,马驹桥站,13,1,39.751373936,116.56708322
102,西红门南桥,2,3,39.7772427275,116.337658325
103,黄港站,2,4,40.0559655775,116.47639415
126,肖庄站,21,1,39.7136778425,116.115341425
127,念坛,17,1,39.695462955,116.3095267
128,长阳,19,1,39.6948888175,116.2050828
129,良乡,20,1,39.698324595,116.1445756
130,北臧,18,1,39.688568845,116.28394315
132,闫村西,22,1,39.72903109,116.08610725
133,六里桥,1,2,39.887103016,116.29524096
480,小汤山站,8,5,40.1402202175,116.256035825
481,长城站,18,5,40.35823156,115.9814437
482,西拨子,19,5,40.36105662,115.9742579
