d,o,flow_in,flow_out
8,8,887,1129
8,11,15378,18916
8,12,13804,15632
8,13,44396,52003
8,14,9410,10877
8,15,10542,11827
8,19,9,9
8,20,1854,2070
8,21,34512,38945
8,22,2,2
8,23,40243,46618
8,24,367,416
8,25,1288,1458
8,27,599,713
8,28,956,1148
8,47,0,1
8,48,14,17
8,49,19,26
8,50,113,130
8,51,39,47
8,52,183,220
8,53,1139,1319
8,54,1644,1903
8,55,4066,5176
8,56,765,1064
8,58,236,303
8,60,226,258
8,61,211,264
8,63,155,194
8,65,47,52
8,66,54,58
8,67,212,273
8,68,60530,69209
8,70,7812,8830
8,98,9036,10204
8,99,9741,11546
8,102,32,38
8,103,10184,19158
8,127,278,337
8,128,771,908
8,129,769,896
8,130,783,989
8,132,2782,3150
8,133,65,76
8,480,3275,3625
8,482,4110,5004
8,483,5107,5777
8,511,27795,31195
8,512,17727,19791
8,514,11378,12754
8,516,15013,16797
8,518,6571,7330
8,519,5184,5803
8,521,2876,3262
8,522,5,7
8,523,733,833
8,524,1,1
8,526,2579,3263
8,527,19,25
8,528,4027,4988
8,832,430,505
8,856,511,597
8,857,1861,2156
8,859,1574,1807
8,860,92,108
8,862,1602,1868
8,863,9760,11427
8,877,2103,2344
8,879,1694,1919
8,882,8368,9501
8,883,2684,3194
8,884,3030,3666
8,885,213,267
8,886,215,255
8,887,1686,1878
8,888,79,100
8,889,431,540
8,890,7017,9347
8,892,591,671
8,894,506,569
8,895,871,984
8,896,11048,13007
8,900,3490,3923
8,901,8748,10156
8,902,420,488
8,903,26832,31838
8,906,1366,1593
8,907,967,1089
8,908,1027,1208
8,909,989,1097
8,910,4195,4778
8,911,6925,7793
8,913,4434,4923
8,914,4877,5433
8,915,1261,1439
8,916,13967,19600
8,917,5636,11660
8,918,7740,9066
8,919,1269,1429
8,920,2293,2924
8,921,11246,13346
8,922,3091,3563
8,923,4446,6325
8,924,2965,3498
8,926,4502,5280
8,927,1005,1082
8,928,627,717
8,929,6146,7264
8,930,3778,4529
8,931,5935,6962
8,932,9415,11817
8,933,86,99
8,934,320,380
8,936,1232,1669
8,937,164,182
8,938,3143,3591
8,939,419,457
8,940,2302,4032
8,941,46,50
8,942,3883,4850
8,946,212,232
11,8,21894,22757
11,11,564,621
11,12,3127,3199
11,13,19699,20313
11,14,10811,11002
