o,d,flow_in,flow_out
8,8,887,1129
8,11,21894,22757
8,12,18428,19156
8,13,34987,36557
8,14,10239,10586
8,15,11902,12281
8,19,4,4
8,20,2760,2861
8,21,39207,40642
8,22,5,5
8,23,22342,23407
8,24,24,112
8,25,1736,1812
8,27,400,412
8,28,461,477
8,49,8,9
8,50,34,39
8,51,16,16
8,52,85,89
8,53,877,917
8,54,857,898
8,55,4119,4238
8,56,64,80
8,58,143,149
8,60,99,101
8,61,166,170
8,63,75,78
8,65,34,36
8,66,40,41
8,67,75,95
8,68,33224,50724
8,70,2663,9548
8,98,8676,8888
8,99,8006,8327
8,102,13,14
8,103,4060,21852
8,127,238,250
8,128,468,497
8,129,618,638
8,130,420,439
8,132,1945,2003
8,133,37,37
8,480,2656,2732
8,481,1133,1209
8,483,5385,5895
8,511,21090,24238
8,512,13369,15355
8,514,6919,8808
8,516,10411,11174
8,518,5942,6430
8,519,4144,4442
8,521,3318,3539
8,522,15,17
8,524,494,530
8,525,904,933
8,526,1633,1724
8,527,2267,2428
8,528,27311,28628
8,832,583,598
8,856,249,280
8,857,709,1148
8,859,696,1666
8,860,29,164
8,862,180,1461
8,863,8500,8946
8,877,1332,2507
8,879,299,1787
8,882,3694,8063
8,883,1110,2888
8,884,391,2623
8,885,23,197
8,886,56,267
8,887,779,1957
8,888,24,122
8,889,133,477
8,890,466,9562
8,892,308,314
8,894,581,598
8,895,705,738
8,896,10976,11461
8,900,1354,2985
8,901,521,840
8,902,153,324
8,903,1474,1856
8,906,1161,1376
8,907,824,892
8,908,692,891
8,909,711,878
8,910,2896,3646
8,911,6375,6581
8,913,2623,6172
8,914,2531,5823
8,915,541,1421
8,916,11803,23371
8,917,5586,8712
8,918,3709,4408
8,919,815,1019
8,920,2240,2591
8,921,8957,11746
8,922,3614,4196
8,923,4598,6397
8,924,1426,1539
8,926,673,716
8,927,50,55
8,928,485,607
8,929,5756,6313
8,930,3919,4288
8,931,5045,6258
8,932,6611,8253
8,933,66,67
8,934,366,413
8,936,136,168
8,937,149,164
8,938,2993,3525
8,939,143,275
8,940,1789,2940
8,941,32,35
8,942,1278,1353
8,946,190,207
11,8,15378,18916
11,11,564,621
11,12,5116,5203
11,13,21050,21285
11,14,10800,10902
11,15,19246,19524
11,19,6,6
11,20,3260,3281
11,21,12759,14026
11,22,1,1
11,23,20344,20901
11,24,58,267
11,25,2118,2160
11,27,804,819
11,28,1261,1393
11,49,4,4
11,50,16,17
11,51,6,6
11,52,71,74
11,53,301,323
11,54,318,347
11,55,2692,2912
11,56,128,144
11,58,109,111
11,60,232,235
11,61,309,310
11,63,121,121
11,65,51,51
11,66,186,189
11,67,105,109
11,68,36907,58862
11,70,737,2785
11,98,8002,8058
11,99,7144,7265
11,102,27,27
11,103,880,2486
11,127,350,353
11,128,231,238
11,129,197,207
11,130,317,322
11,132,1038,1084
11,133,8,8
11,480,2580,2781
11,481,1326,1464
11,483,5000,5656
11,511,356,439
11,512,430,500
11,514,836,1197
11,516,2728,3066
11,518,3039,3446
11,519,2862,3234
11,521,1430,1608
11,522,5,5
11,524,423,458
11,525,992,1077
11,526,1775,1900
11,527,1418,1579
11,528,12748,14007
11,832,1481,1496
11,856,550,614
11,857,1107,1698
11,859,712,1755
11,860,42,186
11,862,221,1305
11,863,6888,7083
11,877,2527,4537
11,879,617,3509
11,882,3531,7035
11,883,730,1909
11,884,222,1933
11,885,22,177
11,886,30,167
11,887,305,1006
11,888,20,120
11,889,109,369
11,890,334,6323
11,892,421,428
11,894,1214,1248
11,895,1027,1087
11,896,8259,8480
11,900,497,1548
11,901,196,360
11,902,197,416
11,903,566,750
11,906,487,609
11,907,365,427
11,908,250,342
11,909,212,259
11,910,477,631
11,911,1459,1594
11,913,1617,5117
11,914,42,119
11,915,43,106
11,916,93,244
11,917,870,1292
11,918,401,499
11,919,139,171
11,920,370,441
11,921,1002,1464
11,922,415,499
11,923,787,1181
11,924,248,298
11,926,92,187
11,927,15,20
11,928,159,207
11,929,2087,2429
11,930,1486,1686
11,931,1545,1991
11,932,3562,4936
11,933,30,34
11,934,101,128
11,936,52,84
11,937,55,65
11,938,1567,2088
11,939,24,90
11,940,688,1437
11,941,22,24
11,942,1886,1940
11,946,24,37
12,8,13804,15632
12,11,3127,3199
12,12,382,394
12,13,12990,13173
12,14,11832,11969
12,15,30641,31010
12,19,9,9
12,20,9481,9539
12,21,7721,7884
12,22,4,4
12,23,77433,79811
12,24,122,691
12,25,7965,8060
12,27,4301,4432
12,28,8579,8713
12,49,13,13
12,50,67,68
12,51,30,30
12,52,147,147
12,53,780,805
12,54,917,931
12,55,7157,7281
12,56,762,814
12,58,998,1015
12,60,1262,1282
12,61,1814,1826
12,63,669,674
12,65,293,298
12,66,588,603
12,67,540,552
12,68,12608,20019
12,70,326,1078
12,98,23538,23685
12,99,37385,37916
12,102,135,138
12,103,261,1131
12,127,2132,2219
12,128,1809,1825
12,129,685,688
12,130,2621,2660
12,132,2280,2307
12,133,19,20
12,480,4066,4132
12,481,1090,1138
12,483,5604,6105
12,511,475,528
12,512,548,613
12,514,1122,1459
12,516,3743,4033
12,518,2841,2986
12,519,1956,2085
12,521,1699,1760
12,522,4,4
12,524,313,325
12,525,782,795
12,526,1764,1812
12,527,1198,1226
12,528,15876,16269
12,832,6669,6729
12,856,3177,3645
12,857,6696,10669
12,859,1680,4681
12,860,58,474
12,862,461,3405
12,863,24498,25315
12,877,14443,27501
12,879,693,3363
12,880,0,1
12,882,3003,6505
12,883,464,1023
12,884,462,4029
12,885,16,122
12,886,48,221
12,887,394,1664
12,888,26,119
12,889,84,467
12,890,589,7738
12,892,4278,4307
12,894,3694,4221
12,895,4812,5357
12,896,49259,51635
12,900,444,1205
12,901,230,365
12,902,108,207
12,903,876,1064
12,906,819,909
12,907,563,587
12,908,287,359
12,909,319,384
12,910,1011,1262
12,911,2833,2885
12,913,1365,4476
12,914,11,40
12,915,3,8
12,916,46,96
12,917,551,784
12,918,402,465
12,919,147,182
12,920,332,381
12,921,831,1091
12,922,440,487
12,923,885,1227
12,924,265,288
12,926,106,114
12,927,14,14
12,928,562,656
12,929,2261,2456
12,930,2357,2472
12,931,2507,2996
12,932,2591,3200
12,933,23,26
12,934,92,108
12,936,276,336
12,937,261,277
12,938,1542,1884
12,939,12,26
12,940,1053,1633
12,941,151,158
12,942,18659,19033
12,946,22,23
13,8,44396,52003
13,11,19699,20313
13,12,14211,14670
13,13,914,932
13,14,6586,6751
13,15,18117,18606
13,19,9,9
13,20,6228,6350
13,21,14781,15311
13,22,15,17
